open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date,month,year,day,day_of_week,quarter,dateClean
538.26,543.25,537.84,542.76,7354600.0,543.2489,537.84,542.76,538.26,7362193.0,1.0,0.0,VOO,ARCX,2025-05-15T00:00:00+0000,5,2025,15,3,2,2025-05-15
540.37,541.42,538.24,540.11,5011400.0,541.42,538.24,540.11,540.37,5031301.0,1.0,0.0,VOO,ARCX,2025-05-14T00:00:00+0000,5,2025,14,2,2,2025-05-14
536.33,541.48,535.78,539.44,7346800.0,541.48,535.78,539.44,536.33,7356804.0,1.0,0.0,VOO,ARCX,2025-05-13T00:00:00+0000,5,2025,13,1,2,2025-05-13
534.5,535.92,530.39,535.92,7718886.0,535.92,530.39,535.92,534.5,7793576.0,1.0,0.0,VOO,ARCX,2025-05-12T00:00:00+0000,5,2025,12,0,2,2025-05-12
520.69,521.63,517.36,518.65,4725100.0,521.6306,517.36,518.65,520.69,4739506.0,1.0,0.0,VOO,ARCX,2025-05-09T00:00:00+0000,5,2025,9,4,2,2025-05-09
519.54,524.2074,516.345,519.34,5065890.0,524.23,516.345,519.34,519.54,5088200.0,1.0,0.0,VOO,ARCX,2025-05-08T00:00:00+0000,5,2025,8,3,2,2025-05-08
514.92,518.08,511.1,515.9,5448379.0,518.18,511.1,515.9,514.92,5467344.0,1.0,0.0,VOO,ARCX,2025-05-07T00:00:00+0000,5,2025,7,2,2,2025-05-07
512.89,517.825,511.94,513.58,4588373.0,517.825,511.94,513.58,512.89,4694270.0,1.0,0.0,VOO,ARCX,2025-05-06T00:00:00+0000,5,2025,6,1,2,2025-05-06
517.08,520.84,516.4478,517.99,4745581.0,520.85,516.27,517.99,517.08,4793497.0,1.0,0.0,VOO,ARCX,2025-05-05T00:00:00+0000,5,2025,5,0,2,2025-05-05
519.12,522.41,516.89,520.71,6275700.0,522.41,516.89,520.71,519.12,6285390.0,1.0,0.0,VOO,ARCX,2025-05-02T00:00:00+0000,5,2025,2,4,2,2025-05-02
515.13,518.44,512.77,513.35,5428611.0,518.44,512.77,513.35,515.13,5784483.0,1.0,0.0,VOO,ARCX,2025-05-01T00:00:00+0000,5,2025,1,3,2,2025-05-01
503.26,511.5,497.76,509.74,7834700.0,511.5,497.76,509.74,503.26,7873686.0,1.0,0.0,VOO,ARCX,2025-04-30T00:00:00+0000,4,2025,30,2,2,2025-04-30
504.54,510.5497,504.26,509.49,4686575.0,510.5497,504.26,509.49,504.54,6525457.0,1.0,0.0,VOO,ARCX,2025-04-29T00:00:00+0000,4,2025,29,1,2,2025-04-29
506.81,508.6918,501.0,506.42,4179047.0,508.74,500.96,506.42,506.81,4210016.0,1.0,0.0,VOO,ARCX,2025-04-28T00:00:00+0000,4,2025,28,0,2,2025-04-28
502.44,506.52,499.75,506.11,6926500.0,506.52,499.75,506.11,502.44,6933423.0,1.0,0.0,VOO,ARCX,2025-04-25T00:00:00+0000,4,2025,25,4,2,2025-04-25
493.26,503.0,492.22,502.41,6146100.0,503.0,492.2231,502.41,493.26,6184333.0,1.0,0.0,VOO,ARCX,2025-04-24T00:00:00+0000,4,2025,24,3,2,2025-04-24
496.69,501.18,490.7,492.07,7890620.0,501.18,490.7,492.07,496.69,8047601.0,1.0,0.0,VOO,ARCX,2025-04-23T00:00:00+0000,4,2025,23,2,2,2025-04-23
478.07,486.4482,477.205,484.29,5918713.0,486.48,477.19,484.29,478.07,6236319.0,1.0,0.0,VOO,ARCX,2025-04-22T00:00:00+0000,4,2025,22,1,2,2025-04-22
479.02,479.49,467.33,472.37,7715190.0,479.49,467.33,472.37,479.02,7762501.0,1.0,0.0,VOO,ARCX,2025-04-21T00:00:00+0000,4,2025,21,0,2,2025-04-21
484.79,488.16,481.5,483.9,5638939.0,488.16,481.5,483.9,484.79,5638939.0,1.0,0.0,VOO,ARCX,2025-04-17T00:00:00+0000,4,2025,17,3,2,2025-04-17
488.65,491.765,478.23,483.23,6242110.0,491.765,478.23,483.23,488.65,6374869.0,1.0,0.0,VOO,ARCX,2025-04-16T00:00:00+0000,4,2025,16,2,2,2025-04-16
496.03,499.27,493.42,494.09,8170500.0,499.27,493.42,494.09,496.03,8200583.0,1.0,0.0,VOO,ARCX,2025-04-15T00:00:00+0000,4,2025,15,1,2,2025-04-15
500.05,500.18,490.69,495.48,7437269.0,500.26,490.69,495.48,500.05,7701488.0,1.0,0.0,VOO,ARCX,2025-04-14T00:00:00+0000,4,2025,14,0,2,2025-04-14
480.69,493.0,478.0,490.55,11525100.0,493.0,478.0,490.55,480.69,11541195.0,1.0,0.0,VOO,ARCX,2025-04-11T00:00:00+0000,4,2025,11,4,2,2025-04-11
489.15,490.29,468.33,482.06,16533480.0,490.3,468.33,482.06,489.15,16651303.0,1.0,0.0,VOO,ARCX,2025-04-10T00:00:00+0000,4,2025,10,3,2,2025-04-10
453.49,502.0612,453.16,499.1,28499321.0,502.0612,453.16,499.1,453.49,29286594.0,1.0,0.0,VOO,ARCX,2025-04-09T00:00:00+0000,4,2025,9,2,2,2025-04-09
479.68,482.48,449.6,456.74,18798412.0,482.49,449.6,456.74,479.68,19002684.0,1.0,0.0,VOO,ARCX,2025-04-08T00:00:00+0000,4,2025,8,1,2,2025-04-08
449.54,480.725,442.8,463.56,31207980.0,480.76,442.8,463.56,449.54,31285267.0,1.0,0.0,VOO,ARCX,2025-04-07T00:00:00+0000,4,2025,7,0,2,2025-04-07
481.28,483.3,464.24,465.52,30889900.0,483.3,464.24,465.52,481.28,30966508.0,1.0,0.0,VOO,ARCX,2025-04-04T00:00:00+0000,4,2025,4,4,2,2025-04-04
501.0,503.66,493.5,494.16,16174000.0,503.66,493.5,494.16,501.0,16226023.0,1.0,0.0,VOO,ARCX,2025-04-03T00:00:00+0000,4,2025,3,3,2,2025-04-03
510.14,521.46,509.9298,518.91,4681282.0,521.49,509.9298,518.91,510.14,6308643.0,1.0,0.0,VOO,ARCX,2025-04-02T00:00:00+0000,4,2025,2,2,2,2025-04-02
512.36,517.35,508.88,515.8,7697017.0,517.35,508.88,515.8,512.36,7697017.0,1.0,0.0,VOO,ARCX,2025-04-01T00:00:00+0000,4,2025,1,1,2,2025-04-01
505.31,515.33,502.64,513.91,8196668.0,515.33,502.64,513.91,505.31,8196668.0,1.0,0.0,VOO,ARCX,2025-03-31T00:00:00+0000,3,2025,31,0,1,2025-03-31
519.76,520.46,510.16,510.8,5831793.0,520.46,510.16,510.8,519.76,5831793.0,1.0,0.0,VOO,ARCX,2025-03-28T00:00:00+0000,3,2025,28,4,1,2025-03-28
521.29,524.678,519.23,521.21,5534928.0,524.678,519.23,521.21,521.29,5534928.0,1.0,1.812,VOO,ARCX,2025-03-27T00:00:00+0000,3,2025,27,3,1,2025-03-27
530.56,531.41,522.6479,522.6479,4429626.0,531.41,523.1,520.8358,530.56,4429626.0,1.0,0.0,VOO,ARCX,2025-03-26T00:00:00+0000,3,2025,26,2,1,2025-03-26
530.59,531.6,529.11,530.65,6247200.0,531.6,529.11,530.65,530.59,6260199.0,1.0,0.0,VOO,ARCX,2025-03-25T00:00:00+0000,3,2025,25,1,1,2025-03-25
526.48,530.36,525.88,529.39,8307735.0,530.39,525.88,529.39,526.48,22376267.0,1.0,0.0,VOO,ARCX,2025-03-24T00:00:00+0000,3,2025,24,0,1,2025-03-24
