open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,month,year,day,day_of_week,quarter,date,per_change,movement
519.12,522.41,516.89,520.71,6275700.0,522.41,516.89,520.71,519.12,6285390.0,1.0,0.0,VOO,ARCX,5,2025,2,4,2,2025-05-02,0.3062875635691231,1
515.13,518.44,512.77,513.35,5428611.0,518.44,512.77,513.35,515.13,5784483.0,1.0,0.0,VOO,ARCX,5,2025,1,3,2,2025-05-01,-0.3455438433016855,0
503.26,511.5,497.76,509.74,7834700.0,511.5,497.76,509.74,503.26,7873686.0,1.0,0.0,VOO,ARCX,4,2025,30,2,2,2025-04-30,1.287604816595799,1
504.54,510.5497,504.26,509.49,4686575.0,510.5497,504.26,509.49,504.54,6525457.0,1.0,0.0,VOO,ARCX,4,2025,29,1,2,2025-04-29,0.9810916874777001,1
506.81,508.6918,501.0,506.42,4179047.0,508.74,500.96,506.42,506.81,4210016.0,1.0,0.0,VOO,ARCX,4,2025,28,0,2,2025-04-28,-0.07695191491880317,0
502.44,506.52,499.75,506.11,6926500.0,506.52,499.75,506.11,502.44,6933423.0,1.0,0.0,VOO,ARCX,4,2025,25,4,2,2025-04-25,0.7304354748825762,1
493.26,503.0,492.22,502.41,6146100.0,503.0,492.2231,502.41,493.26,6184333.0,1.0,0.0,VOO,ARCX,4,2025,24,3,2,2025-04-24,1.855005473786651,1
496.69,501.18,490.7,492.07,7890620.0,501.18,490.7,492.07,496.69,8047601.0,1.0,0.0,VOO,ARCX,4,2025,23,2,2,2025-04-23,-0.930157643600637,0
478.07,486.4482,477.205,484.29,5918713.0,486.48,477.19,484.29,478.07,6236319.0,1.0,0.0,VOO,ARCX,4,2025,22,1,2,2025-04-22,1.301064697638427,1
479.02,479.49,467.33,472.37,7715190.0,479.49,467.33,472.37,479.02,7762501.0,1.0,0.0,VOO,ARCX,4,2025,21,0,2,2025-04-21,-1.3882510124838165,0
484.79,488.16,481.5,483.9,5638939.0,488.16,481.5,483.9,484.79,5638939.0,1.0,0.0,VOO,ARCX,4,2025,17,3,2,2025-04-17,-0.18358464489779971,0
488.65,491.765,478.23,483.23,6242110.0,491.765,478.23,483.23,488.65,6374869.0,1.0,0.0,VOO,ARCX,4,2025,16,2,2,2025-04-16,-1.1091783485111961,0
496.03,499.27,493.42,494.09,8170500.0,499.27,493.42,494.09,496.03,8200583.0,1.0,0.0,VOO,ARCX,4,2025,15,1,2,2025-04-15,-0.3911053766909255,0
500.05,500.18,490.69,495.48,7437269.0,500.26,490.69,495.48,500.05,7701488.0,1.0,0.0,VOO,ARCX,4,2025,14,0,2,2025-04-14,-0.9139086091390848,0
480.69,493.0,478.0,490.55,11525100.0,493.0,478.0,490.55,480.69,11541195.0,1.0,0.0,VOO,ARCX,4,2025,11,4,2,2025-04-11,2.0512180407331155,1
489.15,490.29,468.33,482.06,16533480.0,490.3,468.33,482.06,489.15,16651303.0,1.0,0.0,VOO,ARCX,4,2025,10,3,2,2025-04-10,-1.4494531329857867,0
453.49,502.0612,453.16,499.1,28499321.0,502.0612,453.16,499.1,453.49,29286594.0,1.0,0.0,VOO,ARCX,4,2025,9,2,2,2025-04-09,10.05755363955104,1
479.68,482.48,449.6,456.74,18798412.0,482.49,449.6,456.74,479.68,19002684.0,1.0,0.0,VOO,ARCX,4,2025,8,1,2,2025-04-08,-4.782354903268845,0
449.54,480.725,442.8,463.56,31207980.0,480.76,442.8,463.56,449.54,31285267.0,1.0,0.0,VOO,ARCX,4,2025,7,0,2,2025-04-07,3.11874360457356,1
481.28,483.3,464.24,465.52,30889900.0,483.3,464.24,465.52,481.28,30966508.0,1.0,0.0,VOO,ARCX,4,2025,4,4,2,2025-04-04,-3.274601063829786,0
501.0,503.66,493.5,494.16,16174000.0,503.66,493.5,494.16,501.0,16226023.0,1.0,0.0,VOO,ARCX,4,2025,3,3,2,2025-04-03,-1.3652694610778393,0
